,from,to,from_weight,to_weight,edge_weight
0,community,class,9,13,1
1,community,year,9,9,1
2,community,job,9,8,1
3,community,system,9,40,1
4,community,tensorflow,9,11,1
5,community,model,9,25,1
6,community,application,9,32,1
7,community,twitter,9,9,1
8,community,machine,9,24,1
9,community,learning,9,18,1
10,community,AI,9,7,1
11,community,process,9,26,1
12,community,set,9,16,1
13,community,example,9,35,1
14,community,question,9,8,1
15,community,way,9,45,1
16,community,project,9,19,1
17,model,result,25,18,1
18,model,year,25,9,1
19,model,other,25,17,1
20,model,translation,25,22,1
21,model,example,25,35,1
22,model,work,25,19,1
23,model,world,25,15,1
24,model,people,25,18,1
25,model,computer,25,18,1
26,model,design,25,10,1
27,model,access,25,11,1
28,model,datum,25,35,1
29,model,class,25,13,2
30,model,classification,25,8,1
31,model,case,25,13,1
32,model,platform,25,19,2
33,model,learning,25,18,1
34,model,system,25,40,1
35,model,process,25,26,1
36,application,task,32,21,1
37,application,computer,32,18,1
38,application,processing,32,9,1
39,application,system,32,40,3
40,application,machine,32,24,1
41,application,twitter,32,9,1
42,application,model,32,25,1
43,application,developer,32,12,1
44,application,app,32,10,1
45,application,number,32,18,1
46,application,work,32,19,1
47,application,access,32,11,1
48,application,example,32,35,1
49,application,object,32,16,2
50,application,degree,32,8,1
51,application,content,32,9,1
52,application,service,32,19,1
53,application,code,32,20,1
54,application,design,32,10,1
55,application,datum,32,35,1
56,application,software,32,23,3
57,application,process,32,26,1
58,application,idea,32,10,1
59,application,translation,32,22,1
60,application,way,32,45,2
61,application,company,32,12,1
62,application,organization,32,11,2
63,application,platform,32,19,2
64,AI,organization,7,11,1
65,AI,company,7,12,1
66,AI,platform,7,19,1
67,AI,software,7,23,1
68,AI,service,7,19,1
69,AI,machine-learning,7,19,2
70,AI,way,7,45,2
71,AI,idea,7,10,1
72,AI,google,7,13,1
73,AI,development,7,25,1
74,AI,training,7,18,1
75,learning,accuracy,18,7,1
76,learning,google,18,13,1
77,learning,prediction,18,12,1
78,learning,work,18,19,1
79,learning,text,18,9,1
80,learning,way,18,45,1
81,learning,question,18,8,1
82,learning,computer,18,18,2
83,learning,datum,18,35,2
84,learning,scale,18,9,1
85,learning,machine-learning,18,19,2
86,learning,number,18,18,1
87,learning,machine,18,24,1
88,learning,application,18,32,2
89,learning,design,18,10,1
90,learning,classification,18,8,2
91,learning,input,18,12,3
92,learning,set,18,16,2
93,learning,network,18,25,1
94,learning,algorithm,18,12,1
95,learning,year,18,9,1
96,learning,performance,18,22,1
97,learning,computer-vision,18,7,1
98,learning,deep-learning,18,13,1
99,learning,model,18,25,4
100,learning,translation,18,22,1
101,learning,processing,18,9,1
102,learning,object,18,16,4
103,learning,training,18,18,2
104,learning,system,18,40,2
105,learning,organization,18,11,2
106,learning,course,18,7,1
107,learning,task,18,21,3
108,learning,brain,18,10,2
109,learning,process,18,26,2
110,learning,development,18,25,1
111,learning,language,18,16,1
112,learning,people,18,18,2
